index,diff
1,6.582810209
2,7.772619792
3,4.242869042
4,8.036863833
5,4.24555125
6,5.237680459
7,7.238034834
8,3.539648083
9,5.209032375
10,3.232950917
11,3.748168167
12,6.107420875
13,4.880778625
14,8.004457125
15,3.851691417
16,4.167911958
17,4.145625125
18,4.669941541
19,7.024248625
20,5.535380417
21,6.241078875
22,6.140134125
23,3.439344583
24,3.413120125
25,4.681176125
26,4.091677542
27,3.874476416
28,4.828957833
29,4.437783958
30,3.675446833
31,3.606340541
32,4.317680125
33,3.653467875
34,7.179352000
35,3.867830334
36,3.974101125
37,3.914145875
38,3.748014375
39,4.827945458
40,7.889029125
41,3.502954083
42,4.304688583
43,3.618113292
44,3.804590458
45,4.540166416
46,4.606863792
47,6.440418791
48,3.252708584
49,3.786706958
50,3.557741750
51,4.717414792
52,3.608645417
53,4.538269625
54,4.592607500
55,3.180021334
56,7.239233917
57,4.499196042
58,3.078020625
59,3.419602666
60,11.500090542
61,6.887299583
62,9.893057500
63,3.856912208
64,11.166231667
65,4.695073958
66,11.596763042
67,7.219034416
68,4.666774833
69,3.680006916
70,4.566288750
71,4.157230625
72,3.558816750
73,4.045064459
74,3.867484791
75,4.102523458
76,3.457450792
77,3.333996875
78,3.817544333
79,3.294805084
80,4.618915334
81,4.255618959
82,7.100449542
83,4.183650958
84,6.512782625
85,4.965485791
86,5.53641900
87,4.045079916
88,3.800217458
89,4.310393833
90,5.014938584
91,3.414357000
92,5.360021500
93,4.533940708
94,3.622826792
95,4.102406583
96,4.119605458
97,6.026617375
98,3.932746167
99,3.992164833
100,13.337449916
